,City,Zipcode,Price,Beds,Bath,SQFT,School_rating,WalkScore,Bike_Score,TransitScore,Garage_availability,County
712,San Francisco,94110,2500000,1,1,3830.0,5.6,98,100,88,No,San Francisco County
713,San Francisco,94123,6500000,4,3,4554.0,8.5,83,64,71,Yes,San Francisco County
714,San Francisco,94112,699000,3,1,875.0,5.6,72,39,84,Yes,San Francisco County
715,San Francisco,94102,2495000,3,4,3060.0,4.0,98,79,95,Yes,San Francisco County
716,San Francisco,94107,1825000,3,2,3307.0,5.6,98,88,100,No,San Francisco County
717,San Francisco,94112,649000,1,1,751.0,5.6,56,44,69,No,San Francisco County
718,San Francisco,94122,1799000,3,2,2004.0,7.5,80,87,55,Yes,San Francisco County
719,San Francisco,94114,12500000,5,4,4200.0,3.2,95,66,73,Yes,San Francisco County
720,San Francisco,94102,625000,1,1,613.0,5.6,100,93,100,Yes,San Francisco County
721,San Francisco,94105,1025000,2,2,1162.0,5.6,97,77,100,Yes,San Francisco County
722,SAN FRANCISCO,94116,3299950,4,4,2741.0,5.6,69,45,69,Yes,San Francisco County
723,San Francisco,94109,2995000,4,3,2365.0,5.6,94,73,80,Yes,San Francisco County
724,San Francisco,94122,1495000,2,2,1425.0,5.6,70,54,63,Yes,San Francisco County
725,San Francisco,94122,1050000,2,1,1161.0,5.6,86,58,68,Yes,San Francisco County
726,San Francisco,94109,706130,3,2,1198.0,5.6,100,79,85,No,San Francisco County
727,San Francisco,94112,1098000,3,2,2070.0,5.6,84,82,81,Yes,San Francisco County
728,San Francisco,94109,1998000,7,4,3560.0,5.6,98,68,83,Yes,San Francisco County
729,San Francisco,94109,868000,1,1,755.0,5.6,100,79,85,No,San Francisco County
730,San Francisco,94102,510000,3,1,526.0,5.6,100,93,100,Yes,San Francisco County
731,San Francisco,94103,1295000,2,2,1363.0,2.0,99,89,100,Yes,San Francisco County
732,San Francisco,94110,1449000,3,1,1400.0,5.6,91,70,81,No,San Francisco County
733,San Francisco,94114,5250000,3,2,7932.0,5.6,99,93,90,No,San Francisco County
734,SAN FRANCISCO,94103,948888,2,2,1075.0,4.0,98,99,100,Yes,San Francisco County
735,San Francisco,94121,1795000,2,2,1360.0,7.7,95,69,69,Yes,San Francisco County
736,San Francisco,94115,599000,1,1,475.0,6.3,98,71,77,No,San Francisco County
737,San Francisco,94131,989000,4,2,1368.0,5.6,78,66,81,No,San Francisco County
738,SAN FRANCISCO,94122,1298000,3,1,1750.0,7.7,87,89,62,Yes,San Francisco County
739,San Francisco,94116,1200000,3,2,1805.0,7.7,83,57,65,Yes,San Francisco County
740,San Francisco,94109,995000,2,2,1075.0,5.6,100,79,85,Yes,San Francisco County
741,San Francisco,94102,1950000,3,2,2516.0,5.6,99,81,100,No,San Francisco County
742,San Francisco,94118,1343249,3,2,2245.0,5.6,91,97,71,Yes,San Francisco County
743,SAN FRANCISCO,94107,819000,1,1,822.0,5.6,94,90,87,Yes,San Francisco County
744,San Francisco,94115,1095000,3,2,1243.0,8.0,97,81,76,Yes,San Francisco County
745,San Francisco,94116,1250000,3,1,1790.0,7.8,84,66,59,Yes,San Francisco County
746,San Francisco,94112,400000,3,2,2796.0,5.6,67,59,71,No,San Francisco County
